300 28 28 39.72 43.12 44.64 28280 0.00 0.00 0.00     0 35.37 39.82 40.54  3252     0 0.171
300 28 28 39.72 43.12 44.64 28280 0.00 0.00 0.00     0 37.47 41.00 41.87  4874     0 0.174
300 28 28 39.72 43.12 44.64 28280 0.00 0.00 0.00     0 38.97 41.92 42.93  6499     0 0.178
300 28 28 43.38 45.36 47.40 44792 0.00 0.00 0.00     0 40.18 42.74 43.79  8129     0 0.179
300 28 28 39.80 43.12 44.65 28608 0.00 0.00 0.00     0 35.96 40.36 41.11  3247  1257 0.191
300 28 28 39.80 43.12 44.65 28608 0.00 0.00 0.00     0 38.02 41.50 42.40  4878  2191 0.193
