300 28 28 39.72 43.12 44.64 28280 0.00 0.00 0.00     0 35.37 39.82 40.54  3252     0 0.171
300 28 28 39.72 43.12 44.64 28280 0.00 0.00 0.00     0 37.47 41.00 41.87  4874     0 0.174
300 28 28 39.72 43.12 44.64 28280 0.00 0.00 0.00     0 38.97 41.92 42.93  6499     0 0.178
